id,event,mood,text
idle_calm_0683,idle,calm,still settled
idle_calm_0684,idle,calm,quiet balanced
idle_calm_0685,idle,calm,soft balanced
idle_calm_0686,idle,calm,just balanced
idle_calm_0687,idle,calm,a balanced pause
idle_calm_0688,idle,calm,still balanced
idle_calm_0689,idle,calm,quiet soft
idle_calm_0690,idle,calm,soft soft
idle_calm_0691,idle,calm,just soft
idle_calm_0692,idle,calm,a soft pause
idle_calm_0693,idle,calm,still soft
idle_calm_0694,idle,calm,quiet plain
idle_calm_0695,idle,calm,soft plain
idle_calm_0696,idle,calm,just plain
idle_calm_0697,idle,calm,a plain pause
idle_calm_0698,idle,calm,still plain
idle_calm_0699,idle,calm,quiet peaceful
idle_calm_0700,idle,calm,soft peaceful
idle_calm_0701,idle,calm,just peaceful
idle_calm_0702,idle,calm,a peaceful pause
idle_calm_0703,idle,calm,still peaceful
idle_sad_0704,idle,sad,i feel droopy
idle_sad_0705,idle,sad,a bit droopy
idle_sad_0706,idle,sad,small droopy feeling
idle_sad_0707,idle,sad,please help with droopy
idle_sad_0708,idle,sad,my mood is droopy
idle_sad_0709,idle,sad,i feel dim
idle_sad_0710,idle,sad,a bit dim
idle_sad_0711,idle,sad,small dim feeling
idle_sad_0712,idle,sad,please help with dim
idle_sad_0713,idle,sad,my mood is dim
idle_sad_0714,idle,sad,i feel lonely
idle_sad_0715,idle,sad,a bit lonely
idle_sad_0716,idle,sad,small lonely feeling
idle_sad_0717,idle,sad,please help with lonely
idle_sad_0718,idle,sad,my mood is lonely
idle_sad_0719,idle,sad,i feel flat
idle_sad_0720,idle,sad,a bit flat
idle_sad_0721,idle,sad,small flat feeling
idle_sad_0722,idle,sad,please help with flat
idle_sad_0723,idle,sad,my mood is flat
idle_sad_0724,idle,sad,i feel fragile
idle_sad_0725,idle,sad,a bit fragile
idle_sad_0726,idle,sad,small fragile feeling
idle_sad_0727,idle,sad,please help with fragile
idle_sad_0728,idle,sad,my mood is fragile
idle_sad_0729,idle,sad,i feel heavy
idle_sad_0730,idle,sad,a bit heavy
idle_sad_0731,idle,sad,small heavy feeling
idle_sad_0732,idle,sad,please help with heavy
idle_sad_0733,idle,sad,my mood is heavy
idle_sad_0734,idle,sad,i feel wilted
idle_sad_0735,idle,sad,a bit wilted
idle_sad_0736,idle,sad,small wilted feeling
idle_sad_0737,idle,sad,please help with wilted
idle_sad_0738,idle,sad,my mood is wilted
idle_sad_0739,idle,sad,i feel small
idle_sad_0740,idle,sad,a bit small
idle_sad_0741,idle,sad,small small feeling
idle_sad_0742,idle,sad,please help with small
idle_sad_0743,idle,sad,my mood is small
idle_sad_0744,idle,sad,i feel gloomy
idle_sad_0745,idle,sad,a bit gloomy
idle_sad_0746,idle,sad,small gloomy feeling
idle_sad_0747,idle,sad,please help with gloomy
idle_sad_0748,idle,sad,my mood is gloomy
idle_sad_0749,idle,sad,i feel tired
idle_sad_0750,idle,sad,a bit tired
idle_sad_0751,idle,sad,small tired feeling
idle_sad_0752,idle,sad,please help with tired
idle_sad_0753,idle,sad,my mood is tired
idle_sad_0754,idle,sad,i feel low
idle_sad_0755,idle,sad,a bit low
idle_sad_0756,idle,sad,small low feeling
idle_sad_0757,idle,sad,please help with low
idle_sad_0758,idle,sad,my mood is low
idle_sad_0759,idle,sad,i feel grey
idle_sad_0760,idle,sad,a bit grey
idle_sad_0761,idle,sad,small grey feeling
idle_sad_0762,idle,sad,please help with grey
idle_sad_0763,idle,sad,my mood is grey
idle_sick_0764,idle,sick,i feel wobbly
idle_sick_0765,idle,sick,wobbly body
idle_sick_0766,idle,sick,a little wobbly
idle_sick_0767,idle,sick,please be wobbly
idle_sick_0768,idle,sick,health feels wobbly
idle_sick_0769,idle,sick,i feel queasy
idle_sick_0770,idle,sick,queasy body
idle_sick_0771,idle,sick,a little queasy
idle_sick_0772,idle,sick,please be queasy
idle_sick_0773,idle,sick,health feels queasy
idle_sick_0774,idle,sick,i feel weak
idle_sick_0775,idle,sick,weak body
idle_sick_0776,idle,sick,a little weak
idle_sick_0777,idle,sick,please be weak
idle_sick_0778,idle,sick,health feels weak
idle_sick_0779,idle,sick,i feel cloudy
idle_sick_0780,idle,sick,cloudy body
idle_sick_0781,idle,sick,a little cloudy
idle_sick_0782,idle,sick,please be cloudy
idle_sick_0783,idle,sick,health feels cloudy
idle_sick_0784,idle,sick,i feel shaky
idle_sick_0785,idle,sick,shaky body
idle_sick_0786,idle,sick,a little shaky
idle_sick_0787,idle,sick,please be shaky
idle_sick_0788,idle,sick,health feels shaky
idle_sick_0789,idle,sick,i feel sore
idle_sick_0790,idle,sick,sore body
idle_sick_0791,idle,sick,a little sore
idle_sick_0792,idle,sick,please be sore
idle_sick_0793,idle,sick,health feels sore
idle_sick_0794,idle,sick,i feel dizzy
idle_sick_0795,idle,sick,dizzy body
idle_sick_0796,idle,sick,a little dizzy
idle_sick_0797,idle,sick,please be dizzy
idle_sick_0798,idle,sick,health feels dizzy
idle_sick_0799,idle,sick,i feel fuzzy
idle_sick_0800,idle,sick,fuzzy body
idle_sick_0801,idle,sick,a little fuzzy
idle_sick_0802,idle,sick,please be fuzzy
idle_sick_0803,idle,sick,health feels fuzzy
idle_sick_0804,idle,sick,i feel fragile
idle_sick_0805,idle,sick,fragile body
idle_sick_0806,idle,sick,a little fragile
idle_sick_0807,idle,sick,please be fragile
idle_sick_0808,idle,sick,health feels fragile
idle_sick_0809,idle,sick,i feel drained
idle_sick_0810,idle,sick,drained body
idle_sick_0811,idle,sick,a little drained
idle_sick_0812,idle,sick,please be drained
idle_sick_0813,idle,sick,health feels drained
idle_sick_0814,idle,sick,i feel poorly
idle_sick_0815,idle,sick,poorly body
idle_sick_0816,idle,sick,a little poorly
idle_sick_0817,idle,sick,please be poorly
idle_sick_0818,idle,sick,health feels poorly
idle_sick_0819,idle,sick,i feel unwell
idle_sick_0820,idle,sick,unwell body
idle_sick_0821,idle,sick,a little unwell
idle_sick_0822,idle,sick,please be unwell
idle_sick_0823,idle,sick,health feels unwell
